source,destination,delay_ratio,fix,priority,estimated_time_saved_pct,reasoning
IND712311AAA,IND700088AAA,2.6666666666666665,Route audit — check for infrastructure constraints on this corridor,P3,24.999999999999996,Corridor shows 2.7x OSRM delay on 83 trips. Peak delay: Afternoon. Route type: Carting over 11km avg.
IND400011AAA,IND400072AAD,2.6666666666666665,Route audit — check for infrastructure constraints on this corridor,P3,24.999999999999996,Corridor shows 2.7x OSRM delay on 107 trips. Peak delay: Afternoon. Route type: Carting over 10km avg.
IND845305AAA,IND842001AAA,2.6666666666666665,Schedule shift — move volume to Morning/Afternoon to avoid peak congestion,P2,24.999999999999996,Corridor shows 2.7x OSRM delay on 113 trips. Peak delay: Night. Route type: FTL over 30km avg.
IND585307AAB,IND585104AAA,2.6666666666666665,Schedule shift — move volume to Morning/Afternoon to avoid peak congestion,P2,24.999999999999996,Corridor shows 2.7x OSRM delay on 107 trips. Peak delay: Night. Route type: Carting over 12km avg.
IND121004AAB,IND110037AAM,2.6333333333333333,Route audit — check for infrastructure constraints on this corridor,P3,24.5,Corridor shows 2.6x OSRM delay on 110 trips. Peak delay: Morning. Route type: Carting over 10km avg.
IND400072AAB,IND401104AAA,2.625,Route audit — check for infrastructure constraints on this corridor,P3,24.375,Corridor shows 2.6x OSRM delay on 155 trips. Peak delay: Afternoon. Route type: Carting over 10km avg.
IND582101AAB,IND580028AAA,2.6,Route audit — check for infrastructure constraints on this corridor,P3,24.0,Corridor shows 2.6x OSRM delay on 52 trips. Peak delay: Morning. Route type: FTL over 21km avg.
IND245304AAA,IND201007AAA,2.5934065934065935,Schedule shift — move volume to Morning/Afternoon to avoid peak congestion,P2,23.9010989010989,Corridor shows 2.6x OSRM delay on 52 trips. Peak delay: Night. Route type: Carting over 9km avg.
IND781018AAB,IND788026AAC,2.588235294117647,Route audit — check for infrastructure constraints on this corridor,P3,23.823529411764707,Corridor shows 2.6x OSRM delay on 91 trips. Peak delay: Afternoon. Route type: FTL over 45km avg.
IND400015AAA,IND400072AAB,2.5833333333333335,Route audit — check for infrastructure constraints on this corridor,P3,23.750000000000004,Corridor shows 2.6x OSRM delay on 71 trips. Peak delay: Morning. Route type: Carting over 10km avg.
IND741123AAB,IND741126AAB,2.5555555555555554,Schedule shift — move volume to Morning/Afternoon to avoid peak congestion,P2,23.33333333333333,Corridor shows 2.6x OSRM delay on 53 trips. Peak delay: Night. Route type: Carting over 15km avg.
IND712311AAA,IND742101AAC,2.5486111111111107,Route audit — check for infrastructure constraints on this corridor,P3,23.22916666666666,Corridor shows 2.5x OSRM delay on 64 trips. Peak delay: Morning. Route type: FTL over 31km avg.
IND221706AAA,IND273014AAB,2.533333333333333,Route audit — check for infrastructure constraints on this corridor,P3,23.0,Corridor shows 2.5x OSRM delay on 56 trips. Peak delay: Afternoon. Route type: FTL over 30km avg.
IND741126AAB,IND741156AAA,2.5,Schedule shift — move volume to Morning/Afternoon to avoid peak congestion,P2,22.5,Corridor shows 2.5x OSRM delay on 60 trips. Peak delay: Night. Route type: Carting over 8km avg.
IND400072AAB,IND421302AAG,2.5,Route audit — check for infrastructure constraints on this corridor,P3,22.5,Corridor shows 2.5x OSRM delay on 180 trips. Peak delay: Afternoon. Route type: Carting over 10km avg.
IND401209AAA,IND401104AAA,2.4722222222222223,Schedule shift — move volume to Morning/Afternoon to avoid peak congestion,P2,22.083333333333336,Corridor shows 2.5x OSRM delay on 58 trips. Peak delay: Night. Route type: Carting over 11km avg.
IND400102AAC,IND421302AAG,2.4545454545454546,Route audit — check for infrastructure constraints on this corridor,P3,21.81818181818182,Corridor shows 2.5x OSRM delay on 81 trips. Peak delay: Afternoon. Route type: Carting over 12km avg.
IND410206AAB,IND000000AFT,2.4450549450549453,Route audit — check for infrastructure constraints on this corridor,P3,21.67582417582418,Corridor shows 2.4x OSRM delay on 72 trips. Peak delay: Morning. Route type: Carting over 11km avg.
IND788026AAC,IND781018AAB,2.44,Schedule shift — move volume to Morning/Afternoon to avoid peak congestion,P2,21.599999999999998,Corridor shows 2.4x OSRM delay on 149 trips. Peak delay: Evening. Route type: FTL over 41km avg.
IND712103AAA,IND712310AAE,2.430769230769231,Route audit — check for infrastructure constraints on this corridor,P3,21.461538461538467,Corridor shows 2.4x OSRM delay on 76 trips. Peak delay: Morning. Route type: Carting over 11km avg.
IND401209AAB,IND421302AAH,2.4285714285714284,Schedule shift — move volume to Morning/Afternoon to avoid peak congestion,P2,21.428571428571427,Corridor shows 2.4x OSRM delay on 59 trips. Peak delay: Evening. Route type: Carting over 12km avg.
IND516115AAA,IND517501AAB,2.4285714285714284,Route audit — check for infrastructure constraints on this corridor,P3,21.428571428571427,Corridor shows 2.4x OSRM delay on 136 trips. Peak delay: Morning. Route type: Carting over 11km avg.
IND507303AAA,IND507002AAA,2.41875,Route audit — check for infrastructure constraints on this corridor,P3,21.281250000000004,Corridor shows 2.4x OSRM delay on 72 trips. Peak delay: Afternoon. Route type: FTL over 19km avg.
IND832109AAB,IND834002AAB,2.41875,Schedule shift — move volume to Morning/Afternoon to avoid peak congestion,P2,21.281250000000004,Corridor shows 2.4x OSRM delay on 106 trips. Peak delay: Night. Route type: FTL over 25km avg.
IND516101AAA,IND516115AAA,2.4017857142857144,Route audit — check for infrastructure constraints on this corridor,P3,21.026785714285715,Corridor shows 2.4x OSRM delay on 70 trips. Peak delay: Morning. Route type: Carting over 9km avg.
IND421302AAG,IND401104AAA,2.4,Route audit — check for infrastructure constraints on this corridor,P3,21.0,Corridor shows 2.4x OSRM delay on 155 trips. Peak delay: Afternoon. Route type: Carting over 14km avg.
IND210501AAB,IND209304AAA,2.4,Route audit — check for infrastructure constraints on this corridor,P3,21.0,Corridor shows 2.4x OSRM delay on 141 trips. Peak delay: Morning. Route type: Carting over 14km avg.
IND741156AAA,IND742102AAB,2.4,Schedule shift — move volume to Morning/Afternoon to avoid peak congestion,P2,21.0,Corridor shows 2.4x OSRM delay on 65 trips. Peak delay: Night. Route type: Carting over 9km avg.
IND583101AAA,IND583201AAA,2.3693181818181817,Schedule shift — move volume to Morning/Afternoon to avoid peak congestion,P2,20.539772727272727,Corridor shows 2.4x OSRM delay on 54 trips. Peak delay: Night. Route type: FTL over 21km avg.
IND400072AAB,IND000000AFT,2.3636363636363638,Route audit — check for infrastructure constraints on this corridor,P3,20.454545454545457,Corridor shows 2.4x OSRM delay on 134 trips. Peak delay: Morning. Route type: Carting over 11km avg.
IND211002AAB,IND485001AAC,2.359210526315789,Route audit — check for infrastructure constraints on this corridor,P3,20.38815789473684,Corridor shows 2.4x OSRM delay on 78 trips. Peak delay: Morning. Route type: FTL over 31km avg.
IND712311AAA,IND781018AAB,2.3529411764705883,Schedule shift — move volume to Morning/Afternoon to avoid peak congestion,P2,20.294117647058826,Corridor shows 2.4x OSRM delay on 203 trips. Peak delay: Night. Route type: FTL over 44km avg.
IND834002AAB,IND832109AAB,2.3508771929824563,Schedule shift — move volume to Morning/Afternoon to avoid peak congestion,P2,20.263157894736846,Corridor shows 2.4x OSRM delay on 70 trips. Peak delay: Evening. Route type: FTL over 24km avg.
IND600008AAC,IND600056AAB,2.3333333333333335,Schedule shift — move volume to Morning/Afternoon to avoid peak congestion,P2,20.000000000000004,Corridor shows 2.3x OSRM delay on 71 trips. Peak delay: Night. Route type: Carting over 10km avg.
